Modelis,Mėnesio kaina,Kaina
Samsung Galaxy S23 Ultra,"54,13 €/mėn.",1 299 €
Samsung Galaxy Flip5,"45,80 €/mėn.",1 099 €
Samsung Galaxy Fold5,"74,13 €/mėn.",1 779 €
Samsung Galaxy A54 5G,"13,30 €/mėn.",319 €
Samsung Galaxy S22,"22,46 €/mėn.",539 €
Samsung Galaxy S23,"33,30 €/mėn.",799 €
Samsung Galaxy A34 5G,"14,96 €/mėn.",359 €
Samsung Galaxy S23+,"45,38 €/mėn.",1 089 €
Samsung Galaxy Flip4 5G,"29,13 €/mėn.",699 €
Samsung Galaxy Fold4 5G,"60,38 €/mėn.",1 449 €
Samsung Galaxy S21 FE,"24,13 €/mėn.",579 €
Samsung Galaxy A14 4G,"8,30 €/mėn.",199 €
Samsung Galaxy A14 5G,"9,55 €/mėn.",229 €
Samsung Galaxy XCover 5,"10,38 €/mėn.",249 €
Samsung Galaxy A33,"12,46 €/mėn.",299 €
Samsung Galaxy Xcover6 Pro,"25,38 €/mėn.",609 €
Samsung Galaxy A13 (A137) 128GB,"5,38 €/mėn.",129 €
Samsung Galaxy A13 5G,"7,46 €/mėn.",179 €
